Country,Wine
Africa,"1,014,906.00 t"
Africa (FAO),"1,014,906.00 t"
Albania,"17,144.00 t"
Algeria,"90,000.00 t"
Americas (FAO),"5,755,926.00 t"
Argentina,"1,522,200.00 t"
Armenia,"7,305.00 t"
Asia,"1,685,643.00 t"
Asia (FAO),"1,714,528.00 t"
Australia,"1,433,827.00 t"
Austria,"226,402.00 t"
Azerbaijan,"4,378.00 t"
Belarus,"15,720.00 t"
Belgium,"4,000.00 t"
Belgium-Luxembourg (FAO),
Bolivia,"7,223.00 t"
Bosnia and Herzegovina,"5,042.00 t"
Brazil,"319,900.00 t"
Bulgaria,"169,446.00 t"
Canada,"29,134.00 t"
Caribbean (FAO),"9,500.00 t"
Central America (FAO),"41,607.00 t"
Central Asia (FAO),"93,778.00 t"
Chile,"788,551.00 t"
China,"1,350,000.00 t"
China (FAO),"1,350,000.00 t"
Colombia,"2010 8,230.00 t"
Croatia,"77,300.00 t"
Cuba,"9,500.00 t"
Cyprus,"28,885.00 t"
Czechia,"55,000.00 t"
Czechoslovakia,
Eastern Africa (FAO),"11,334.00 t"
Eastern Asia (FAO),"1,445,511.00 t"
Eastern Europe (FAO),"1,755,482.00 t"
Egypt,"6,800.00 t"
Eritrea and Ethiopia,
Estonia,0.00 t
Ethiopia,"3,214.00 t"
Europe,"18,539,848.00 t"
Europe (FAO),"18,510,963.00 t"
European Union (27),"17,306,279.00 t"
European Union (27) (FAO),"17,306,279.00 t"
France,"5,344,170.00 t"
Georgia,"87,000.00 t"
Germany,"945,300.00 t"
Greece,"376,866.00 t"
High-income countries,"22,409,947.00 t"
Hungary,"310,328.00 t"
Iceland,2019 0.00 t
Israel,"5,700.00 t"
Italy,"5,056,648.00 t"
Japan,"95,511.00 t"
Jordan,764.00 t
Kazakhstan,"24,730.00 t"
Kyrgyzstan,"1,212.00 t"
Land Locked Developing Countries (FAO),"576,112.00 t"
Latvia,"7,517.00 t"
Least Developed Countries (FAO),"9,714.00 t"
Lebanon,"15,000.00 t"
Libya,2015 0.00 t
Lithuania,"7,850.00 t"
Low Income Food Deficit Countries (FAO),"37,387.00 t"
Low-income countries,"9,939.00 t"
Lower-middle-income countries,"410,564.00 t"
Luxembourg,"13,537.00 t"
Madagascar,"6,500.00 t"
Malta,"2,450.00 t"
Mauritius,"2017 3,881.00 t"
Mexico,"41,486.00 t"
Moldova,"373,400.00 t"
Mongolia,2015 75.00 t
Montenegro,"2006 16,556.00 t"
Morocco,"37,560.00 t"
Net Food Importing Developing Countries (FAO),"151,901.00 t"
New Zealand,"102,000.00 t"
North America,"2,968,241.00 t"
North Macedonia,"83,604.00 t"
Northern Africa (FAO),"162,923.00 t"
Northern America (FAO),"2,917,134.00 t"
Northern Europe (FAO),"16,681.00 t"
Norway,2012 0.00 t
Oceania,"1,535,827.00 t"
Oceania (FAO),"1,535,827.00 t"
Panama,121.00 t
Paraguay,"1,610.00 t"
Peru,"59,000.00 t"
Portugal,"706,373.00 t"
Reunion,20.00 t
Romania,"260,220.00 t"
Russia,"317,440.00 t"
Serbia,"2006 129,184.00 t"
Serbia and Montenegro,"106,839.00 t"
Slovakia,"40,958.00 t"
Slovenia,"29,329.00 t"
Small Island Developing States (FAO),"9,500.00 t"
South Africa,"840,649.00 t"
South America,"2,787,685.00 t"
South America (FAO),"2,787,685.00 t"
South-eastern Asia (FAO),"2010 5,982.00 t"
Southern Africa (FAO),"840,649.00 t"
Southern Europe (FAO),"10,105,295.00 t"
Spain,"3,643,700.00 t"
Switzerland,"100,096.00 t"
Syria,225.00 t
Tajikistan,536.00 t
Tunisia,"28,563.00 t"
Turkey,"25,982.00 t"
Turkmenistan,"43,200.00 t"
USSR,
Ukraine,"212,970.00 t"
United Kingdom,"1,314.00 t"
United States,"2,888,000.00 t"
Upper-middle-income countries,"5,701,680.00 t"
Uruguay,"89,201.00 t"
Uzbekistan,"24,100.00 t"
Vietnam,"2010 5,982.00 t"
Western Asia (FAO),"175,239.00 t"
Western Europe (FAO),"6,633,505.00 t"
World,"28,532,150.00 t"
Yugoslavia,
Zimbabwe,"1,600.00 t"
