Country,suicide_death_rate
Afghanistan,6.1
African Region (WHO),10.3
Albania,4.9
Algeria,3.6
American Samoa,7.4
Andorra,7.1
Angola,12.3
Antigua and Barbuda,2.8
Argentina,10.4
Armenia,7.9
Australia,10.4
Austria,11.3
Azerbaijan,3.6
Bahamas,2.8
Bahrain,4.8
Bangladesh,4.7
Barbados,3.9
Belarus,19
Belgium,15
Belize,7.4
Benin,10.9
Bermuda,3.1
Bhutan,5.9
Bolivia,6.8
Bosnia and Herzegovina,8.4
Botswana,19
Brazil,5.7
Brunei,5.8
Bulgaria,10.8
Burkina Faso,12.9
Burundi,12.4
Cambodia,5.1
Cameroon,13.3
Canada,11
Cape Verde,16
Central African Republic,19.4
Chad,13
Chile,9.8
China,6.8
Colombia,5.3
Comoros,7.3
Congo,12.4
Cook Islands,12.4
Costa Rica,7.5
Cote d'Ivoire,13.2
Croatia,11.1
Cuba,10.9
Cyprus,4.2
Czechia,10.6
Democratic Republic of Congo,12.1
Denmark,8.4
Djibouti,9.4
Dominica,4.9
Dominican Republic,6.3
East Asia & Pacific (WB),7.2
Eastern Mediterranean Region (WHO),6
Ecuador,9.4
Egypt,3.5
El Salvador,8.3
England,6.6
Equatorial Guinea,10.2
Eritrea,14.3
Estonia,12.2
Eswatini,24.5
Ethiopia,10.1
Europe & Central Asia (WB),12.2
European Region (WHO),12.1
Fiji,9.6
Finland,13
France,12.5
G20,10.2
Gabon,13.3
Gambia,10
Georgia,7
Germany,9.5
Ghana,9.7
Greece,3.5
Greenland,53.3
Grenada,4.6
Guam,18.8
Guatemala,5.5
Guinea,11.1
Guinea-Bissau,14.9
Guyana,32.6
Haiti,9.6
Honduras,3.3
Hungary,13.7
Iceland,8.7
India,13.8
Indonesia,3
Iran,4.7
Iraq,5.5
Ireland,8.1
Israel,5.6
Italy,5
Jamaica,2.9
Japan,14.2
Jordan,2.5
Kazakhstan,22.7
Kenya,10.9
Kiribati,26.6
Kuwait,2.8
Kyrgyzstan,9.8
Laos,6.3
Latin America & Caribbean (WB),6.6
Latvia,15.8
Lebanon,3.3
Lesotho,42.2
Liberia,8.9
Libya,4.6
Lithuania,23.9
Luxembourg,8.7
Madagascar,9.8
Malawi,11.7
Malaysia,5.8
Maldives,3.8
Mali,8.1
Malta,4.2
Marshall Islands,21.7
Mauritania,6.2
Mauritius,8.1
Mexico,6
Micronesia (country),23.1
Middle East & North Africa (WB),4.5
Moldova,11.7
Monaco,10.3
Mongolia,16.7
Montenegro,14.5
Morocco,7
Mozambique,16
Myanmar,3.6
Namibia,13.4
Nauru,22.6
Nepal,12.3
Netherlands,9.1
New Zealand,10.7
Nicaragua,5.7
Niger,9.1
Nigeria,7.1
Niue,11.8
North America (WB),11.6
North Korea,9.6
North Macedonia,7.8
Northern Ireland,9.5
Northern Mariana Islands,17.3
Norway,8.9
OECD Countries,10.3
Oman,2.6
Pakistan,8.8
Palau,13.5
Palestine,3
Panama,4.7
Papua New Guinea,3.6
Paraguay,6.1
Peru,2.9
Philippines,4.3
Poland,13.7
Portugal,8
Puerto Rico,5.6
Qatar,4
Region of the Americas (WHO),8.5
Romania,8.6
Russia,22.8
Rwanda,9.5
Saint Kitts and Nevis,3.3
Saint Lucia,6.6
Saint Vincent and the Grenadines,6.5
Samoa,13.1
San Marino,9.2
Sao Tome and Principe,2.6
Saudi Arabia,4.3
Scotland,10.4
Senegal,12.2
Serbia,12.5
Seychelles,7.8
Sierra Leone,9.9
Singapore,6.6
Slovakia,9.8
Slovenia,13.8
Solomon Islands,24.6
Somalia,12.7
South Africa,13.5
South Asia (WB),12.5
South Korea,19.5
South Sudan,8.5
South-East Asia Region (WHO),11.2
Spain,5.8
Sri Lanka,19.2
Sub-Saharan Africa (WB),10.6
Sudan,5.7
Suriname,24.1
Sweden,10.7
Switzerland,9.6
Syria,2.3
Taiwan,13.4
Tajikistan,5.6
Tanzania,10.1
Thailand,8.6
Timor,5.6
Togo,11.8
Tokelau,10.2
Tonga,5.2
Trinidad and Tobago,9.9
Tunisia,3.3
Turkey,2.8
Turkmenistan,8.7
Tuvalu,16.2
Uganda,10.8
Ukraine,26.3
United Arab Emirates,5.3
United Kingdom,7.1
United States,11.7
United States Virgin Islands,6.2
Uruguay,16.5
Uzbekistan,11.3
Vanuatu,19.3
Venezuela,7.9
Vietnam,8
Wales,8.4
Western Pacific Region (WHO),7.7
World,9.4
World Bank High Income,10.8
World Bank Low Income,10.9
World Bank Lower Middle Income,10.1
World Bank Upper Middle Income,7.8
Yemen,6.1
Zambia,13.8
Zimbabwe,23.4
