Country,Tobacco Use
Afghanistan,23.80%
Algeria,21.00%
Andorra,32.00%
Argentina,24.90%
Armenia,25.80%
Australia,14.00%
Austria,27.10%
Azerbaijan,24.20%
Bahamas,10.70%
Bahrain,15.20%
Bangladesh,35.20%
Barbados,8.50%
Belarus,30.90%
Belgium,23.90%
Belize,8.80%
Benin,7.20%
Bolivia,13.20%
Bosnia and Herzegovina,35.50%
Botswana,19.80%
Brazil,13.20%
Brunei,16.20%
Bulgaria,39.40%
Burkina Faso,14.90%
Burundi,12.20%
Cambodia,21.90%
Cameroon,7.50%
Canada,13.60%
Cape Verde,11.70%
Central and Southern Asia (UN),27.30%
Chad,8.50%
Chile,29.90%
China,25.70%
Colombia,8.80%
Comoros,20.80%
Congo,14.30%
Cook Islands,24.60%
Costa Rica,9.10%
Cote d'Ivoire,9.70%
Croatia,36.70%
Cuba,18.70%
Cyprus,35.50%
Czechia,30.90%
Democratic Republic of Congo,13.00%
Denmark,18.10%
Dominican Republic,10.90%
Eastern and South-Eastern Asia (UN),26.90%
Ecuador,11.60%
Egypt,24.40%
El Salvador,8.30%
Eritrea,7.70%
Estonia,30.50%
Eswatini,9.30%
Ethiopia,5.20%
Europe and Northern America (UN),24.70%
Fiji,23.40%
Finland,22.20%
France,33.60%
Gambia,11.60%
Georgia,31.70%
Germany,22.50%
Ghana,3.60%
Greece,34.50%
Guatemala,11.00%
Guinea-Bissau,9.30%
Guyana,12.60%
Haiti,7.90%
Hungary,32.20%
Iceland,12.60%
India,28.10%
Indonesia,37.20%
Iran,14.00%
Iraq,18.80%
Ireland,21.40%
Israel,21.60%
Italy,23.30%
Jamaica,9.70%
Japan,20.50%
Jordan,34.60%
Kazakhstan,23.50%
Kenya,11.50%
Kiribati,41.70%
Kuwait,17.90%
Kyrgyzstan,27.60%
Laos,32.50%
Latin America and the Caribbean (UN),13.70%
Latvia,37.20%
Lebanon,38.40%
Lesotho,24.40%
Liberia,8.40%
Lithuania,32.30%
Luxembourg,21.60%
Madagascar,28.40%
Malawi,11.30%
Malaysia,22.80%
Maldives,25.90%
Mali,8.60%
Malta,24.50%
Marshall Islands,28.40%
Mauritania,11.10%
Mauritius,20.50%
Mexico,13.40%
Moldova,28.70%
Mongolia,29.60%
Montenegro,31.80%
Morocco,14.90%
Mozambique,14.80%
Myanmar,45.10%
Namibia,15.50%
Nauru,49.20%
Nepal,31.50%
Netherlands,22.60%
New Zealand,14.20%
Niger,7.60%
Nigeria,3.90%
North Korea,17.80%
Norway,17.10%
Oman,7.90%
Pakistan,20.80%
Palau,17.90%
Panama,5.30%
Papua New Guinea,39.90%
Paraguay,12.10%
Peru,8.70%
Philippines,23.40%
Poland,24.70%
Portugal,25.30%
Qatar,12.00%
Romania,28.40%
Russia,27.10%
Rwanda,14.10%
Samoa,25.90%
Sao Tome and Principe,5.80%
Saudi Arabia,14.20%
Senegal,7.10%
Serbia,40.10%
Seychelles,20.60%
Sierra Leone,14.30%
Singapore,16.60%
Slovakia,31.50%
Slovenia,22.30%
Solomon Islands,36.80%
South Africa,20.40%
South Korea,21.40%
Spain,28.10%
Sri Lanka,22.30%
Sub-Saharan Africa (UN),9.90%
Sweden,24.80%
Switzerland,25.70%
Tanzania,9.20%
Thailand,22.50%
Timor,39.80%
Togo,7.10%
Tonga,31.10%
Tunisia,25.00%
Turkey,30.90%
Turkmenistan,5.80%
Tuvalu,36.00%
Uganda,8.90%
Ukraine,26.20%
United Kingdom,16.10%
United States,23.40%
Uruguay,22.00%
Uzbekistan,17.80%
Vanuatu,18.20%
Vietnam,25.00%
World,22.70%
Yemen,20.50%
Zambia,14.60%
Zimbabwe,12.10%
2000,
