Country,Education
Afghanistan,1.69 years
Africa,
Africa (UN),
Albania,9.08 years
Algeria,7.04 years
American Samoa,
Andorra,10.09 years
Angola,3.63 years
Anguilla,
Antigua and Barbuda,9.12 years
Arab States (UNDP),5.90 years
Argentina,10.10 years
Armenia,10.77 years
Aruba,
Asia,
Asia (UN),
Australia,11.55 years
Austria,11.56 years
Azerbaijan,10.58 years
Bahamas,11.45 years
Bahrain,8.20 years
Bangladesh,4.72 years
Barbados,9.52 years
Belarus,10.82 years
Belgium,11.03 years
Belize,8.03 years
Benin,2.64 years
Bermuda,
Bhutan,
Bolivia,6.97 years
Bonaire Sint Eustatius and Saba,
Bosnia and Herzegovina,6.22 years
Botswana,8.28 years
Brazil,6.15 years
British Virgin Islands,
Brunei,8.48 years
Bulgaria,10.34 years
Burkina Faso,1.31 years
Burundi,2.27 years
Cambodia,3.52 years
Cameroon,4.78 years
Canada,13.19 years
Cape Verde,4.31 years
Cayman Islands,
Central African Republic,3.26 years
Chad,1.54 years
Chile,9.74 years
China,6.33 years
Colombia,7.28 years
Comoros,3.07 years
Congo,5.62 years
Cook Islands,
Costa Rica,7.83 years
Cote d'Ivoire,5.78 years
Croatia,10.41 years
Cuba,10.57 years
Curacao,
Cyprus,10.72 years
Czechia,11.93 years
Democratic Republic of Congo,5.16 years
Denmark,12.83 years
Djibouti,3.74 years
Dominica,7.80 years
Dominican Republic,6.85 years
East Asia and the Pacific (UNDP),6.51 years
Ecuador,7.60 years
Egypt,6.41 years
El Salvador,5.60 years
Equatorial Guinea,5.41 years
Eritrea,3.68 years
Estonia,13.03 years
Eswatini,3.13 years
Ethiopia,1.81 years
Europe,
Europe (UN),
Europe and Central Asia (UNDP),9.33 years
European Union (27),
Faeroe Islands,
Falkland Islands,
Fiji,8.96 years
Finland,12.18 years
France,10.32 years
French Guiana,
French Polynesia,
Gabon,6.92 years
Gambia,2.62 years
Georgia,12.09 years
Germany,13.70 years
Ghana,7.19 years
Gibraltar,
Greece,9.75 years
Greenland,
Grenada,7.77 years
Guadeloupe,
Guam,
Guatemala,3.70 years
Guernsey,
Guinea,1.51 years
Guinea-Bissau,2.20 years
Guyana,6.95 years
Haiti,4.29 years
High human development (UNDP),6.90 years
High-income countries,
Honduras,4.94 years
Hong Kong,10.88 years
Hungary,10.83 years
Iceland,10.33 years
India,4.53 years
Indonesia,7.32 years
Iran,9.56 years
Iraq,6.41 years
Ireland,10.60 years
Isle of Man,
Israel,11.28 years
Italy,9.27 years
Jamaica,7.94 years
Japan,12.31 years
Jersey,
Jordan,8.49 years
Kazakhstan,10.99 years
Kenya,5.82 years
Kiribati,7.33 years
Kosovo,
Kuwait,6.11 years
Kyrgyzstan,10.63 years
Laos,4.23 years
Latin America and the Caribbean (UN),
Latin America and the Caribbean (UNDP),7.22 years
Latvia,12.25 years
Lebanon,7.52 years
Lesotho,6.04 years
Liberia,3.78 years
Libya,6.44 years
Liechtenstein,11.51 years
Lithuania,11.87 years
Low human development (UNDP),3.79 years
Low-income countries,
Lower-middle-income countries,
Luxembourg,11.44 years
Macao,
Madagascar,4.48 years
Malawi,3.15 years
Malaysia,7.59 years
Maldives,3.07 years
Mali,1.16 years
Malta,9.78 years
Marshall Islands,
Martinique,
Mauritania,3.41 years
Mauritius,7.31 years
Mayotte,
Medium human development (UNDP),4.89 years
Mexico,7.49 years
Micronesia (country),6.02 years
Moldova,10.79 years
Monaco,
Mongolia,9.54 years
Montenegro,10.65 years
Montserrat,
Morocco,3.79 years
Mozambique,2.14 years
Myanmar,3.98 years
Namibia,6.12 years
Nauru,
Nepal,3.12 years
Netherlands,11.79 years
Netherlands Antilles,
New Caledonia,
New Zealand,13.27 years
Nicaragua,5.46 years
Niger,1.37 years
Nigeria,5.14 years
Niue,
North America,
North Korea,
North Macedonia,7.64 years
Northern America (UN),
Northern Mariana Islands,
Norway,12.28 years
Oceania,
Oceania (UN),
Oman,6.96 years
Pakistan,4.53 years
Palau,11.40 years
Palestine,7.63 years
Panama,8.58 years
Papua New Guinea,3.55 years
Paraguay,7.35 years
Peru,7.92 years
Philippines,8.66 years
Poland,11.81 years
Portugal,7.49 years
Puerto Rico,
Qatar,8.69 years
Reunion,
Romania,10.23 years
Russia,12.27 years
Rwanda,3.04 years
Saint Barthlemy,
Saint Helena,
Saint Kitts and Nevis,7.19 years
Saint Lucia,7.92 years
Saint Martin (French part),
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,7.90 years
Samoa,11.22 years
San Marino,
Sao Tome and Principe,5.02 years
Saudi Arabia,7.76 years
Senegal,1.38 years
Serbia,8.97 years
Seychelles,10.35 years
Sierra Leone,3.23 years
Singapore,10.56 years
Sint Maarten (Dutch part),
Slovakia,11.15 years
Slovenia,11.68 years
Solomon Islands,4.82 years
Somalia,
South Africa,8.90 years
South America,
South Asia (UNDP),4.81 years
South Korea,11.24 years
South Sudan,
Spain,8.92 years
Sri Lanka,10.13 years
Sub-Saharan Africa (UNDP),4.60 years
Sudan,2.93 years
Suriname,7.88 years
Svalbard and Jan Mayen,
Sweden,12.26 years
Switzerland,11.21 years
Syria,5.86 years
Taiwan,
Tajikistan,10.99 years
Tanzania,4.64 years
Thailand,7.08 years
Timor,3.72 years
Togo,3.94 years
Tokelau,
Tonga,10.07 years
Trinidad and Tobago,9.79 years
Tunisia,5.81 years
Turkey,5.97 years
Turkmenistan,10.83 years
Turks and Caicos Islands,
Tuvalu,8.85 years
Uganda,4.62 years
Ukraine,11.33 years
United Arab Emirates,8.99 years
United Kingdom,11.97 years
United States,12.83 years
United States Virgin Islands,
Upper-middle-income countries,
Uruguay,8.31 years
Uzbekistan,10.50 years
Vanuatu,6.50 years
Vatican,
Venezuela,7.38 years
Very high human development (UNDP),11.22 years
Vietnam,6.70 years
Wallis and Futuna,
Western Sahara,
World,7.42 years
Yemen,1.86 years
Zambia,6.05 years
Zimbabwe,7.16 years
