Country,Alcohol Consumption
Afghanistan,
Albania,7.65 L
Algeria,0.81 L
Andorra,12.55 L
Angola,4.89 L
Antigua and Barbuda,5.37 L
Argentina,8.66 L
Armenia,5.79 L
Australia,12.08 L
Austria,12.79 L
Azerbaijan,1.81 L
Bahamas,4.28 L
Bahrain,1.76 L
Bangladesh,0.16 L
Barbados,7.40 L
Belarus,15.30 L
Belgium,13.13 L
Belize,7.16 L
Benin,2.23 L
Bhutan,1.60 L
Bolivia,4.37 L
Bosnia and Herzegovina,7.20 L
Botswana,9.61 L
Brazil,8.32 L
Brunei,0.21 L
Bulgaria,11.42 L
Burkina Faso,9.19 L
Burundi,8.44 L
Cambodia,2.69 L
Cameroon,7.62 L
Canada,
Cape Verde,6.95 L
Central African Republic,3.62 L
Chad,4.62 L
Chile,8.93 L
China,4.02 L
Colombia,5.41 L
Comoros,0.44 L
Congo,3.75 L
Costa Rica,5.42 L
Cote d'Ivoire,3.30 L
Croatia,10.31 L
Cuba,5.36 L
Cyprus,12.43 L
Czechia,14.76 L
Democratic Republic of Congo,0.86 L
Denmark,12.29 L
Djibouti,1.28 L
Dominica,8.72 L
Dominican Republic,6.15 L
East Asia and Pacific,4.19 L
Ecuador,5.81 L
Egypt,0.29 L
El Salvador,3.80 L
Equatorial Guinea,8.91 L
Eritrea,2.08 L
Estonia,15.65 L
Eswatini,6.71 L
Ethiopia,2.05 L
Europe and Central Asia,12.07 L
European Union,12.30 L
Fiji,2.78 L
Finland,13.11 L
France,13.09 L
Gabon,9.36 L
Gambia,4.27 L
Georgia,6.39 L
Germany,13.28 L
Ghana,3.77 L
Greece,10.73 L
Grenada,8.76 L
Guatemala,4.29 L
Guinea,0.77 L
Guinea-Bissau,5.31 L
Guyana,7.98 L
Haiti,3.86 L
High income,10.39 L
Honduras,3.88 L
Hungary,14.56 L
Iceland,7.74 L
India,2.33 L
Indonesia,0.48 L
Iran,0.58 L
Iraq,0.44 L
Ireland,14.20 L
Israel,2.70 L
Italy,9.41 L
Jamaica,4.43 L
Japan,7.99 L
Jordan,0.66 L
Kazakhstan,9.33 L
Kenya,3.01 L
Kiribati,2.16 L
Kuwait,0.02 L
Kyrgyzstan,11.19 L
Laos,4.37 L
Latin America and Caribbean,7.20 L
Latvia,11.96 L
Lebanon,2.31 L
Lesotho,5.37 L
Liberia,6.05 L
Libya,0.08 L
Lithuania,16.10 L
Low and middle income,4.27 L
Low income,3.21 L
Lower middle income,2.78 L
Luxembourg,13.58 L
Madagascar,1.53 L
Malawi,2.87 L
Malaysia,1.28 L
Maldives,1.52 L
Mali,1.05 L
Malta,6.65 L
Mauritania,0.13 L
Mauritius,5.00 L
Mexico,6.48 L
Micronesia (country),2.78 L
Middle East and North Africa,0.70 L
Middle income,4.33 L
Moldova,19.95 L
Mongolia,5.28 L
Montenegro,
Morocco,0.96 L
Mozambique,1.30 L
Myanmar,1.65 L
Namibia,2.70 L
Nauru,3.40 L
Nepal,1.95 L
Netherlands,10.71 L
New Zealand,10.92 L
Nicaragua,5.30 L
Niger,0.25 L
Nigeria,12.51 L
North America,9.49 L
North Korea,3.68 L
North Macedonia,7.03 L
Norway,8.87 L
Oman,1.56 L
Pakistan,0.16 L
Panama,5.49 L
Papua New Guinea,1.60 L
Paraguay,6.66 L
Peru,6.99 L
Philippines,5.67 L
Poland,10.60 L
Portugal,13.37 L
Qatar,1.67 L
Romania,15.84 L
Russia,17.36 L
Rwanda,13.00 L
Saint Kitts and Nevis,11.53 L
Saint Lucia,11.62 L
Saint Vincent and the Grenadines,5.99 L
Samoa,4.20 L
Sao Tome and Principe,8.72 L
Saudi Arabia,0.17 L
Senegal,0.85 L
Serbia,
Seychelles,6.13 L
Sierra Leone,5.57 L
Singapore,1.78 L
Slovakia,12.06 L
Slovenia,12.30 L
Solomon Islands,1.60 L
Somalia,0.07 L
South Africa,9.58 L
South Asia,1.92 L
South Korea,10.58 L
Spain,12.83 L
Sri Lanka,2.59 L
Sub-Saharan Africa,6.11 L
Sudan,
Suriname,5.41 L
Sweden,8.64 L
Switzerland,11.64 L
Syria,0.92 L
Tajikistan,2.51 L
Tanzania,8.71 L
Thailand,6.81 L
Timor,0.83 L
Togo,3.26 L
Tonga,2.32 L
Trinidad and Tobago,6.17 L
Tunisia,1.46 L
Turkey,2.12 L
Turkmenistan,4.88 L
Tuvalu,2.03 L
Uganda,12.92 L
Ukraine,12.01 L
United Arab Emirates,3.64 L
United Kingdom,13.89 L
United States,9.49 L
Upper middle income,5.89 L
Uruguay,7.46 L
Uzbekistan,4.15 L
Vanuatu,1.20 L
Venezuela,9.42 L
Vietnam,2.63 L
World,5.43 L
Yemen,0.34 L
Zambia,3.90 L
Zimbabwe,2.77 L
