Country,Depression 
Afghanistan,"1,025,343.00"
African Region (WHO),"29,152,819.00"
Albania,"77,595.00"
Algeria,"1,448,602.00"
American Samoa,"1,337.00"
Andorra,"3,550.00"
Angola,"888,628.00"
Antigua and Barbuda,"2,601.00"
Argentina,"1,028,143.00"
Armenia,"102,699.00"
Australia,"1,103,593.00"
Austria,"309,753.00"
Azerbaijan,"252,226.00"
Bahamas,"10,635.00"
Bahrain,"64,656.00"
Bangladesh,"5,811,082.00"
Barbados,"9,874.00"
Belarus,"473,805.00"
Belgium,"458,400.00"
Belize,"9,439.00"
Benin,"277,513.00"
Bermuda,"2,512.00"
Bhutan,"25,032.00"
Bolivia,"307,149.00"
Bosnia and Herzegovina,"127,045.00"
Botswana,"73,495.00"
Brazil,"8,135,488.00"
Brunei,"6,051.00"
Bulgaria,"264,261.00"
Burkina Faso,"493,282.00"
Burundi,"292,672.00"
Cambodia,"386,462.00"
Cameroon,"711,736.00"
Canada,"1,162,045.00"
Cape Verde,"22,152.00"
Central African Republic,"206,490.00"
Chad,"384,883.00"
Chile,"665,358.00"
China,"44,288,056.00"
Colombia,"998,668.00"
Comoros,"21,960.00"
Congo,"197,103.00"
Cook Islands,609.00
Costa Rica,"142,895.00"
Cote d'Ivoire,"603,510.00"
Croatia,"170,299.00"
Cuba,"518,071.00"
Cyprus,"37,979.00"
Czechia,"387,001.00"
Democratic Republic of Congo,"2,681,880.00"
Denmark,"226,656.00"
Djibouti,"32,874.00"
Dominica,"2,138.00"
Dominican Republic,"358,154.00"
East Asia & Pacific (WB),"66,947,150.00"
Eastern Mediterranean Region (WHO),"22,100,515.00"
Ecuador,"466,050.00"
Egypt,"2,862,702.00"
El Salvador,"194,570.00"
England,"2,414,140.00"
Equatorial Guinea,"41,744.00"
Eritrea,"192,289.00"
Estonia,"66,865.00"
Eswatini,"36,400.00"
Ethiopia,"2,637,195.00"
Europe & Central Asia (WB),"37,034,923.00"
European Region (WHO),"37,465,222.00"
Fiji,"24,792.00"
Finland,"282,176.00"
France,"3,036,532.00"
G20,"159,638,413.00"
Gabon,"70,910.00"
Gambia,"68,693.00"
Georgia,"157,403.00"
Germany,"3,382,849.00"
Ghana,"848,421.00"
Greece,"747,751.00"
Greenland,"3,732.00"
Grenada,"3,504.00"
Guam,"5,301.00"
Guatemala,"455,762.00"
Guinea,"306,009.00"
Guinea-Bissau,"48,549.00"
Guyana,"35,959.00"
Haiti,"320,816.00"
Honduras,"202,454.00"
Hungary,"361,338.00"
Iceland,"10,105.00"
India,"41,531,220.00"
Indonesia,"5,517,289.00"
Iran,"3,901,544.00"
Iraq,"1,017,116.00"
Ireland,"211,861.00"
Israel,"355,462.00"
Italy,"2,614,116.00"
Jamaica,"80,207.00"
Japan,"3,358,800.00"
Jordan,"263,050.00"
Kazakhstan,"571,365.00"
Kenya,"1,396,805.00"
Kiribati,"2,702.00"
Kuwait,"127,673.00"
Kyrgyzstan,"175,117.00"
Laos,"145,408.00"
Latin America & Caribbean (WB),"20,003,423.00"
Latvia,"102,600.00"
Lebanon,"210,819.00"
Lesotho,"90,503.00"
Liberia,"146,267.00"
Libya,"263,308.00"
Lithuania,"160,233.00"
Luxembourg,"18,830.00"
Madagascar,"707,158.00"
Malawi,"393,783.00"
Malaysia,"948,563.00"
Maldives,"10,181.00"
Mali,"363,207.00"
Malta,"14,923.00"
Marshall Islands,"1,364.00"
Mauritania,"86,219.00"
Mauritius,"57,567.00"
Mexico,"3,799,031.00"
Micronesia (country),"2,657.00"
Middle East & North Africa (WB),"16,379,463.00"
Moldova,"151,886.00"
Monaco,"1,773.00"
Mongolia,"108,815.00"
Montenegro,"20,843.00"
Morocco,"1,652,166.00"
Mozambique,"763,638.00"
Myanmar,"1,002,864.00"
Namibia,"60,445.00"
Nauru,267.00
Nepal,"1,186,388.00"
Netherlands,"678,444.00"
New Zealand,"162,077.00"
Nicaragua,"168,127.00"
Niger,"422,767.00"
