Country,suicide_death_rate
Afghanistan,8.1
African Region (WHO),12.6
Albania,5.5
Algeria,4.6
American Samoa,6.3
Andorra,7.8
Angola,14.5
Antigua and Barbuda,2.6
Argentina,10.7
Armenia,6.1
Australia,10.5
Austria,13.5
Azerbaijan,4.4
Bahamas,2.7
Bahrain,8.5
Bangladesh,7
Barbados,4.1
Belarus,35.2
Belgium,16.9
Belize,7.8
Benin,12
Bermuda,3.5
Bhutan,6.7
Bolivia,7.7
Bosnia and Herzegovina,9.6
Botswana,27.5
Brazil,6.3
Brunei,5.1
Bulgaria,14.1
Burkina Faso,12.9
Burundi,15.8
Cambodia,6.1
Cameroon,15.5
Canada,11.6
Cape Verde,18.1
Central African Republic,21.8
Chad,15.2
Chile,11.2
China,12.9
Colombia,6.3
Comoros,7.6
Congo,14.8
Cook Islands,11.8
Costa Rica,7.3
Cote d'Ivoire,16
Croatia,15.3
Cuba,12.2
Cyprus,4.6
Czechia,13.7
Democratic Republic of Congo,12.9
Denmark,10.9
Djibouti,10.4
Dominica,5
Dominican Republic,7.3
East Asia & Pacific (WB),11.9
Eastern Mediterranean Region (WHO),6.8
Ecuador,9.6
Egypt,3.5
El Salvador,9.1
England,7
Equatorial Guinea,10.1
Eritrea,15.8
Estonia,21
Eswatini,31.1
Ethiopia,15.1
Europe & Central Asia (WB),17.6
European Region (WHO),17.5
Fiji,9.9
Finland,17.4
France,16
G20,14.2
Gabon,15.8
Gambia,10.5
Georgia,5.2
Germany,10.4
Ghana,10.7
Greece,3.1
Greenland,73.8
Grenada,5.3
Guam,15.4
Guatemala,11.1
Guinea,11
Guinea-Bissau,16.9
Guyana,36.4
Haiti,10.2
Honduras,3.8
Hungary,20.5
Iceland,10.3
India,18.2
Indonesia,3.6
Iran,6.1
Iraq,5.8
Ireland,11.4
Israel,7.5
Italy,5.5
Jamaica,2
Japan,19.3
Jordan,3.4
Kazakhstan,39.6
Kenya,13.1
Kiribati,28.9
Kuwait,3.3
Kyrgyzstan,14
Laos,8.7
Latin America & Caribbean (WB),7.1
Latvia,23.4
Lebanon,3.4
Lesotho,39.5
Liberia,9.6
Libya,4
Lithuania,39.7
Luxembourg,10.9
Madagascar,11.2
Malawi,14.4
Malaysia,5.9
Maldives,4.4
Mali,8.2
Malta,4.6
Marshall Islands,24.2
Mauritania,7.4
Mauritius,9.2
Mexico,5
Micronesia (country),23.9
Middle East & North Africa (WB),5.1
Moldova,17.8
Monaco,11.4
Mongolia,22.2
Montenegro,17.9
Morocco,9.3
Mozambique,14
Myanmar,5.5
Namibia,18
Nauru,28.4
Nepal,12.8
Netherlands,9.1
New Zealand,12.8
Nicaragua,7.2
Niger,9.5
Nigeria,8.6
Niue,14.3
North America (WB),11.2
North Korea,11.5
North Macedonia,9.1
Northern Ireland,9.7
Northern Mariana Islands,15.5
Norway,10.6
OECD Countries,11.8
Oman,3.8
Pakistan,10
Palau,14.2
Palestine,3
Panama,6.2
Papua New Guinea,3.8
Paraguay,5.5
Peru,3.4
Philippines,4
Poland,17.1
Portugal,9.6
Puerto Rico,7
Qatar,5.5
Region of the Americas (WHO),8.8
Romania,10.5
Russia,41.7
Rwanda,12.3
Saint Kitts and Nevis,3.5
Saint Lucia,6.4
Saint Vincent and the Grenadines,6.8
Samoa,14.4
San Marino,8.9
Sao Tome and Principe,2.4
Saudi Arabia,3.2
Scotland,11
Senegal,13.2
Serbia,18.6
Seychelles,8.2
Sierra Leone,10.6
Singapore,9.5
Slovakia,13.6
Slovenia,21.1
Solomon Islands,26.1
Somalia,13.5
South Africa,21.6
South Asia (WB),16.4
South Korea,24.2
South Sudan,9.3
South-East Asia Region (WHO),14.6
Spain,6.5
Sri Lanka,27.6
Sub-Saharan Africa (WB),12.9
Sudan,6.9
Suriname,25
Sweden,12.4
Switzerland,14.6
Syria,2.2
Taiwan,18.6
Tajikistan,5
Tanzania,10.8
Thailand,10.7
Timor,5
Togo,13
Tokelau,11.8
Tonga,5
Trinidad and Tobago,11.9
Tunisia,3.8
Turkey,3.4
Turkmenistan,13
Tuvalu,17.4
Uganda,14.6
Ukraine,26.1
United Arab Emirates,6.1
United Kingdom,7.5
United States,11.2
United States Virgin Islands,7
Uruguay,16.2
Uzbekistan,12.1
Vanuatu,19.8
Venezuela,7.6
Vietnam,8.4
Wales,8.5
Western Pacific Region (WHO),12.8
World,13
World Bank High Income,12.6
World Bank Low Income,12.7
World Bank Lower Middle Income,12.9
World Bank Upper Middle Income,13.3
Yemen,6.4
Zambia,17.4
Zimbabwe,23.4
