Country,Depression 
Afghanistan,"1,238,345.00"
African Region (WHO),"32,982,362.00"
Albania,"78,435.00"
Algeria,"1,607,687.00"
American Samoa,"1,380.00"
Andorra,"3,344.00"
Angola,"1,073,701.00"
Antigua and Barbuda,"2,822.00"
Argentina,"1,104,941.00"
Armenia,"104,628.00"
Australia,"1,149,604.00"
Austria,"324,348.00"
Azerbaijan,"282,446.00"
Bahamas,"11,745.00"
Bahrain,"73,417.00"
Bangladesh,"6,588,316.00"
Barbados,"10,709.00"
Belarus,"466,805.00"
Belgium,"462,161.00"
Belize,"11,334.00"
Benin,"333,739.00"
Bermuda,"2,564.00"
Bhutan,"27,978.00"
Bolivia,"344,444.00"
Bosnia and Herzegovina,"118,977.00"
Botswana,"83,562.00"
Brazil,"8,522,725.00"
Brunei,"6,805.00"
Bulgaria,"253,327.00"
Burkina Faso,"620,453.00"
Burundi,"335,029.00"
Cambodia,"429,336.00"
Cameroon,"854,653.00"
Canada,"1,240,746.00"
Cape Verde,"24,622.00"
Central African Republic,"220,075.00"
Chad,"450,323.00"
Chile,"708,110.00"
China,"48,058,838.00"
Colombia,"1,037,211.00"
Comoros,"24,744.00"
Congo,"219,612.00"
Cook Islands,611.00
Costa Rica,"155,850.00"
Cote d'Ivoire,"694,988.00"
Croatia,"168,390.00"
Cuba,"533,151.00"
Cyprus,"43,049.00"
Czechia,"387,535.00"
Democratic Republic of Congo,"3,169,487.00"
Denmark,"234,440.00"
Djibouti,"39,785.00"
Dominica,"2,249.00"
Dominican Republic,"381,693.00"
East Asia & Pacific (WB),"72,533,573.00"
Eastern Mediterranean Region (WHO),"25,553,901.00"
Ecuador,"522,770.00"
Egypt,"3,328,264.00"
El Salvador,"205,455.00"
England,"2,664,620.00"
Equatorial Guinea,"53,184.00"
Eritrea,"219,125.00"
Estonia,"63,530.00"
Eswatini,"39,544.00"
Ethiopia,"3,105,969.00"
Europe & Central Asia (WB),"37,672,586.00"
European Region (WHO),"38,113,905.00"
Fiji,"25,592.00"
Finland,"258,659.00"
France,"2,886,474.00"
