Country,Alcohol Consumption
Afghanistan,0.21 L
Albania,6.74 L
Algeria,0.93 L
Andorra,11.01 L
Angola,7.96 L
Antigua and Barbuda,5.89 L
Argentina,9.55 L
Armenia,5.84 L
Australia,10.83 L
Austria,12.07 L
Azerbaijan,4.58 L
Bahamas,4.55 L
Bahrain,1.30 L
Bangladesh,0.02 L
Barbados,9.33 L
Belarus,12.00 L
Belgium,11.82 L
Belize,6.74 L
Benin,2.97 L
Bhutan,0.42 L
Bolivia,4.64 L
Bosnia and Herzegovina,6.92 L
Botswana,6.86 L
Brazil,7.86 L
Brunei,0.46 L
Bulgaria,12.34 L
Burkina Faso,11.83 L
Burundi,7.03 L
Cambodia,6.37 L
Cameroon,6.17 L
Canada,8.88 L
Cape Verde,5.95 L
Central African Republic,2.43 L
Chad,1.45 L
Chile,9.26 L
China,7.15 L
Colombia,5.78 L
Comoros,0.88 L
Congo,7.90 L
Costa Rica,4.76 L
Cote d'Ivoire,2.61 L
Croatia,9.07 L
Cuba,5.67 L
Cyprus,10.76 L
Czechia,14.25 L
Democratic Republic of Congo,2.05 L
Denmark,10.36 L
Djibouti,0.49 L
Dominica,11.32 L
Dominican Republic,6.61 L
East Asia and Pacific,6.47 L
Ecuador,4.98 L
Egypt,0.40 L
El Salvador,3.59 L
Equatorial Guinea,9.08 L
Eritrea,1.42 L
Estonia,12.39 L
Eswatini,9.84 L
Ethiopia,2.19 L
Europe and Central Asia,10.09 L
European Union,11.38 L
Fiji,3.33 L
Finland,11.18 L
France,12.64 L
Gabon,9.57 L
Gambia,3.67 L
Georgia,9.61 L
Germany,13.06 L
Ghana,3.12 L
Greece,10.49 L
Grenada,9.07 L
Guatemala,2.55 L
Guinea,1.07 L
Guinea-Bissau,5.05 L
Guyana,7.35 L
Haiti,2.69 L
High income,9.76 L
Honduras,3.49 L
Hungary,11.60 L
Iceland,8.74 L
India,5.54 L
Indonesia,0.60 L
Iran,1.01 L
Iraq,0.37 L
Ireland,12.47 L
Israel,3.86 L
Italy,7.59 L
Jamaica,4.19 L
Japan,7.87 L
Jordan,0.69 L
Kazakhstan,4.66 L
Kenya,2.77 L
Kiribati,0.52 L
Kuwait,0.00 L
Kyrgyzstan,7.59 L
Laos,10.05 L
Latin America and Caribbean,6.62 L
Latvia,12.64 L
Lebanon,1.65 L
Lesotho,4.80 L
Liberia,5.70 L
Libya,0.03 L
Lithuania,15.38 L
Low and middle income,5.54 L
Low income,3.12 L
Lower middle income,4.43 L
Luxembourg,13.18 L
Madagascar,1.88 L
Malawi,3.62 L
Malaysia,0.85 L
Maldives,2.07 L
Mali,1.25 L
Malta,7.56 L
Mauritania,0.03 L
Mauritius,3.94 L
Mexico,4.92 L
Micronesia (country),2.44 L
Middle East and North Africa,0.81 L
Middle income,5.74 L
Moldova,11.87 L
Mongolia,10.97 L
Montenegro,10.92 L
Morocco,0.70 L
Mozambique,2.19 L
Myanmar,4.41 L
Namibia,5.23 L
Nauru,3.71 L
Nepal,2.05 L
Netherlands,9.55 L
New Zealand,10.44 L
Nicaragua,5.03 L
Niger,0.55 L
Nigeria,10.81 L
North America,9.72 L
North Korea,3.82 L
North Macedonia,5.93 L
Norway,7.52 L
Oman,0.77 L
Pakistan,0.29 L
Panama,7.71 L
Papua New Guinea,1.39 L
Paraguay,7.26 L
Peru,6.63 L
Philippines,6.70 L
Poland,11.63 L
Portugal,11.88 L
Qatar,1.62 L
Romania,11.64 L
Russia,12.47 L
Rwanda,9.26 L
Saint Kitts and Nevis,8.88 L
Saint Lucia,9.96 L
Saint Vincent and the Grenadines,8.46 L
Samoa,2.59 L
Sao Tome and Principe,7.19 L
Saudi Arabia,0.20 L
Senegal,0.73 L
Serbia,8.70 L
Seychelles,18.35 L
Sierra Leone,5.63 L
Singapore,2.07 L
Slovakia,11.53 L
Slovenia,12.74 L
Solomon Islands,1.55 L
Somalia,0.01 L
South Africa,9.61 L
South Asia,4.34 L
South Korea,10.04 L
Spain,11.32 L
Sri Lanka,4.10 L
Sub-Saharan Africa,5.87 L
Sudan,0.52 L
Suriname,5.81 L
Sweden,9.13 L
Switzerland,11.58 L
Syria,0.28 L
Tajikistan,3.11 L
Tanzania,11.05 L
Thailand,8.36 L
Timor,2.01 L
Togo,2.37 L
Tonga,0.68 L
Trinidad and Tobago,6.88 L
Tunisia,1.99 L
Turkey,2.12 L
Turkmenistan,5.30 L
Tuvalu,1.98 L
Uganda,15.14 L
Ukraine,10.16 L
United Arab Emirates,3.79 L
United Kingdom,11.21 L
United States,9.82 L
Upper middle income,7.18 L
Uruguay,6.99 L
Uzbekistan,2.59 L
Vanuatu,2.14 L
Venezuela,6.82 L
Vietnam,7.86 L
World,6.30 L
Yemen,0.05 L
Zambia,6.89 L
Zimbabwe,4.92 L
