Country,urban_pop_share
Afghanistan,24.80%
Albania,57.43%
Algeria,70.85%
American Samoa,87.24%
Andorra,88.35%
Angola,63.45%
Antigua and Barbuda,25.00%
Argentina,91.50%
Armenia,63.08%
Aruba,43.11%
Australia,85.70%
Austria,57.72%
Azerbaijan,54.71%
Bahamas,82.75%
Bahrain,89.00%
Bangladesh,34.31%
Barbados,31.25%
Belarus,77.18%
Belgium,97.88%
Belize,45.41%
Benin,45.69%
Bermuda,100.00%
Bhutan,38.68%
Bolivia,68.39%
Bosnia and Herzegovina,47.17%
Botswana,67.15%
Brazil,85.77%
British Virgin Islands,46.58%
Brunei,76.66%
Bulgaria,73.99%
Burkina Faso,27.53%
Burundi,12.08%
Cambodia,22.19%
Cameroon,54.58%
Canada,81.26%
Cape Verde,64.30%
Cayman Islands,100.00%
Central African Republic,40.28%
Chad,22.51%
Channel Islands,30.96%
Chile,87.36%
China,55.50%
Colombia,79.76%
Comoros,28.47%
Congo,65.54%
Costa Rica,76.86%
Cote d'Ivoire,49.44%
Croatia,56.15%
Cuba,76.90%
Curacao,89.35%
Cyprus,66.95%
Czechia,73.48%
Democratic Republic of Congo,42.74%
Denmark,87.53%
Djibouti,77.42%
Dominica,69.58%
Dominican Republic,78.57%
East Asia and Pacific,56.44%
Ecuador,63.40%
Egypt,42.78%
El Salvador,69.70%
Equatorial Guinea,70.62%
Eritrea,35.77%
Estonia,68.42%
Eswatini,23.30%
Ethiopia,19.43%
Europe and Central Asia,71.64%
European Union,73.91%
Faeroe Islands,41.64%
Fiji,54.73%
Finland,85.22%
France,79.65%
French Polynesia,61.68%
Gabon,88.12%
Gambia,59.23%
Georgia,57.45%
Germany,77.20%
Ghana,54.09%
Gibraltar,100.00%
Greece,78.05%
Greenland,86.07%
Grenada,36.00%
Guam,94.53%
Guatemala,49.97%
Guinea,35.14%
Guinea-Bissau,42.12%
Guyana,26.44%
Haiti,52.43%
High income,80.85%
Honduras,55.17%
Hong Kong,100.00%
Hungary,70.50%
Iceland,93.70%
India,32.78%
Indonesia,53.31%
Iran,73.36%
Iraq,69.92%
Ireland,62.54%
Isle of Man,52.24%
Israel,92.18%
Italy,69.57%
Jamaica,54.83%
Japan,91.38%
Jordan,90.26%
Kazakhstan,57.19%
Kenya,25.66%
Kiribati,51.62%
Kuwait,100.00%
Kyrgyzstan,35.78%
Laos,33.11%
Latin America and Caribbean,79.89%
Latvia,67.98%
Lebanon,88.11%
Lesotho,26.91%
Liberia,49.82%
Libya,79.27%
Liechtenstein,14.30%
Lithuania,67.23%
Low and middle income,48.53%
Low income,31.44%
Lower middle income,40.04%
Luxembourg,90.18%
Macao,100.00%
Madagascar,35.19%
Malawi,16.31%
Malaysia,74.21%
Maldives,38.53%
Mali,39.99%
Malta,94.41%
Marshall Islands,75.81%
Mauritania,51.09%
Mauritius,41.00%
Mexico,79.29%
Micronesia (country),22.46%
Middle East and North Africa,64.37%
Middle income,50.33%
Moldova,42.49%
Monaco,100.00%
Mongolia,68.23%
Montenegro,65.81%
Morocco,60.81%
Mozambique,34.40%
Myanmar,29.86%
Namibia,46.90%
Nauru,100.00%
Nepal,18.56%
Netherlands,90.17%
New Caledonia,69.38%
New Zealand,86.34%
Nicaragua,57.90%
Niger,16.25%
Nigeria,47.84%
North America,81.63%
North Korea,61.28%
North Macedonia,57.41%
Northern Mariana Islands,91.36%
Norway,81.09%
Oman,81.35%
Pakistan,36.03%
Palau,78.16%
Palestine,75.37%
Panama,66.70%
Papua New Guinea,13.01%
Paraguay,60.75%
Peru,77.36%
Philippines,46.28%
Poland,60.28%
Portugal,63.51%
Puerto Rico,93.62%
Qatar,98.94%
Romania,53.89%
Russia,74.05%
Rwanda,17.00%
Saint Kitts and Nevis,30.83%
Saint Lucia,18.51%
Saint Vincent and the Grenadines,50.96%
Samoa,18.91%
San Marino,96.74%
Sao Tome and Principe,70.17%
Saudi Arabia,83.18%
Senegal,45.86%
Serbia,55.70%
Seychelles,55.40%
Sierra Leone,40.83%
Singapore,100.00%
Sint Maarten (Dutch part),100.00%
Slovakia,53.89%
Slovenia,53.78%
Solomon Islands,22.36%
Somalia,43.24%
South Africa,64.83%
South Asia,32.74%
South Korea,81.63%
South Sudan,18.85%
Spain,79.60%
Sri Lanka,18.26%
Sub-Saharan Africa,38.59%
Sudan,33.89%
Suriname,66.06%
Sweden,86.55%
Switzerland,73.72%
Syria,52.17%
Tajikistan,26.74%
Tanzania,31.62%
Thailand,47.69%
Timor,29.49%
Togo,40.10%
Tonga,23.27%
Trinidad and Tobago,53.32%
Tunisia,68.06%
Turkey,73.61%
Turkmenistan,50.32%
Turks and Caicos Islands,92.19%
Tuvalu,59.73%
Uganda,22.06%
Ukraine,69.06%
United Arab Emirates,85.67%
United Kingdom,82.63%
United States,81.67%
United States Virgin Islands,95.35%
Upper middle income,63.42%
Uruguay,95.04%
Uzbekistan,50.75%
Vanuatu,24.96%
Venezuela,88.15%
Vietnam,33.81%
World,53.92%
Yemen,34.78%
Zambia,41.91%
Zimbabwe,32.38%
