Country,Education
Afghanistan,2.11 years
Africa,
Africa (UN),
Albania,9.63 years
Algeria,7.51 years
American Samoa,
Andorra,10.53 years
Angola,3.83 years
Anguilla,
Antigua and Barbuda,9.24 years
Arab States (UNDP),6.67 years
Argentina,10.60 years
Armenia,11.12 years
Aruba,
Asia,
Asia (UN),
Australia,12.03 years
Austria,11.71 years
Azerbaijan,10.47 years
Bahamas,11.86 years
Bahrain,8.03 years
Bangladesh,5.12 years
Barbados,9.65 years
Belarus,11.29 years
Belgium,11.42 years
Belize,10.49 years
Benin,3.00 years
Bermuda,
Bhutan,2.31 years
Bolivia,7.71 years
Bonaire Sint Eustatius and Saba,
Bosnia and Herzegovina,7.11 years
Botswana,8.87 years
Brazil,6.88 years
British Virgin Islands,
Brunei,8.77 years
Bulgaria,10.72 years
Burkina Faso,0.87 years
Burundi,2.29 years
Cambodia,4.10 years
Cameroon,5.20 years
Canada,13.51 years
Cape Verde,5.12 years
Cayman Islands,
Central African Republic,3.57 years
Chad,1.84 years
Chile,9.85 years
China,6.73 years
Colombia,7.39 years
Comoros,4.16 years
Congo,5.67 years
Cook Islands,
Costa Rica,8.23 years
Cote d'Ivoire,5.17 years
Croatia,11.02 years
Cuba,11.23 years
Curacao,
Cyprus,11.44 years
Czechia,12.39 years
Democratic Republic of Congo,5.60 years
Denmark,12.43 years
Djibouti,3.97 years
Dominica,7.84 years
Dominican Republic,7.24 years
East Asia and the Pacific (UNDP),6.93 years
Ecuador,7.85 years
Egypt,7.37 years
El Salvador,6.34 years
Equatorial Guinea,5.47 years
Eritrea,4.35 years
Estonia,13.33 years
Eswatini,4.02 years
Ethiopia,2.13 years
Europe,
Europe (UN),
Europe and Central Asia (UNDP),9.85 years
European Union (27),
Faeroe Islands,
Falkland Islands,
Fiji,9.66 years
Finland,12.42 years
France,10.78 years
French Guiana,
French Polynesia,
Gabon,7.57 years
Gambia,3.18 years
Georgia,12.38 years
Germany,13.85 years
Ghana,7.58 years
Gibraltar,
Greece,10.21 years
Greenland,
Grenada,8.30 years
Guadeloupe,
Guam,
Guatemala,4.42 years
Guernsey,
Guinea,1.58 years
Guinea-Bissau,2.84 years
Guyana,8.10 years
Haiti,4.74 years
High human development (UNDP),7.34 years
High-income countries,
Honduras,5.43 years
Hong Kong,11.40 years
Hungary,11.88 years
Iceland,10.89 years
India,5.07 years
Indonesia,7.41 years
Iran,9.71 years
Iraq,7.00 years
Ireland,11.57 years
Isle of Man,
Israel,12.50 years
Italy,9.82 years
Jamaica,8.36 years
Japan,12.53 years
Jersey,
Jordan,9.61 years
Kazakhstan,11.15 years
Kenya,6.19 years
Kiribati,7.87 years
Kosovo,
Kuwait,6.85 years
Kyrgyzstan,11.03 years
Laos,4.57 years
Latin America and the Caribbean (UN),
Latin America and the Caribbean (UNDP),7.79 years
Latvia,12.56 years
Lebanon,8.23 years
Lesotho,5.09 years
Liberia,4.09 years
Libya,7.31 years
Liechtenstein,11.88 years
Lithuania,12.46 years
Low human development (UNDP),4.06 years
Low-income countries,
Lower-middle-income countries,
Luxembourg,12.84 years
Macao,
Madagascar,4.71 years
Malawi,3.99 years
Malaysia,9.70 years
Maldives,4.38 years
Mali,1.50 years
Malta,10.31 years
Marshall Islands,
Martinique,
Mauritania,3.83 years
Mauritius,8.32 years
Mayotte,
Medium human development (UNDP),5.40 years
Mexico,8.01 years
Micronesia (country),7.20 years
Moldova,11.49 years
Monaco,
Mongolia,10.04 years
Montenegro,11.18 years
Montserrat,
Morocco,4.24 years
Mozambique,2.48 years
Myanmar,4.59 years
Namibia,6.40 years
Nauru,
Nepal,3.45 years
Netherlands,11.98 years
Netherlands Antilles,
New Caledonia,
New Zealand,13.38 years
Nicaragua,6.00 years
Niger,1.53 years
Nigeria,5.25 years
Niue,
North America,
North Korea,
North Macedonia,8.50 years
Northern America (UN),
Northern Mariana Islands,
Norway,12.55 years
Oceania,
Oceania (UN),
Oman,7.92 years
Pakistan,4.59 years
Palau,12.06 years
Palestine,8.36 years
Panama,9.28 years
Papua New Guinea,3.95 years
Paraguay,7.24 years
Peru,8.87 years
Philippines,8.91 years
Poland,12.31 years
Portugal,8.06 years
Puerto Rico,
Qatar,8.55 years
Reunion,
Romania,10.73 years
Russia,12.41 years
Rwanda,3.76 years
Saint Barthlemy,
Saint Helena,
Saint Kitts and Nevis,7.85 years
Saint Lucia,8.37 years
Saint Martin (French part),
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,8.26 years
Samoa,11.60 years
San Marino,
Sao Tome and Principe,5.27 years
Saudi Arabia,8.95 years
Senegal,2.22 years
Serbia,10.37 years
Seychelles,10.33 years
Sierra Leone,3.68 years
Singapore,11.18 years
Sint Maarten (Dutch part),
Slovakia,12.27 years
Slovenia,12.06 years
Solomon Islands,5.10 years
Somalia,
South Africa,9.67 years
South America,
South Asia (UNDP),5.28 years
South Korea,11.64 years
South Sudan,5.73 years
Spain,9.36 years
Sri Lanka,10.24 years
Sub-Saharan Africa (UNDP),4.94 years
Sudan,3.13 years
Suriname,8.73 years
Svalbard and Jan Mayen,
Sweden,12.21 years
Switzerland,13.32 years
Syria,6.25 years
Taiwan,
Tajikistan,11.17 years
Tanzania,5.22 years
Thailand,7.61 years
Timor,4.42 years
Togo,3.83 years
Tokelau,
Tonga,10.75 years
Trinidad and Tobago,10.47 years
Tunisia,6.65 years
Turkey,7.09 years
Turkmenistan,10.95 years
Turks and Caicos Islands,
Tuvalu,9.42 years
Uganda,5.89 years
Ukraine,11.51 years
United Arab Emirates,9.83 years
United Kingdom,13.21 years
United States,13.05 years
United States Virgin Islands,
Upper-middle-income countries,
Uruguay,8.33 years
Uzbekistan,10.97 years
Vanuatu,6.68 years
Vatican,
Venezuela,8.69 years
Very high human development (UNDP),11.61 years
Vietnam,7.63 years
Wallis and Futuna,
Western Sahara,
World,7.77 years
Yemen,2.60 years
Zambia,6.32 years
Zimbabwe,7.67 years
