Country,Tobacco Use
Afghanistan,29.10%
Algeria,21.50%
Andorra,34.00%
Argentina,28.90%
Armenia,28.60%
Australia,18.20%
Austria,37.10%
Azerbaijan,26.20%
Bahamas,10.70%
Bahrain,18.10%
Bangladesh,44.00%
Barbados,9.20%
Belarus,35.80%
Belgium,28.00%
Belize,11.30%
Benin,10.70%
Bolivia,19.50%
Bosnia and Herzegovina,40.30%
Botswana,24.80%
Brazil,17.40%
Brunei,16.40%
Bulgaria,42.90%
Burkina Faso,20.50%
Burundi,16.60%
Cambodia,30.10%
Cameroon,9.70%
Canada,19.30%
Cape Verde,15.20%
Central and Southern Asia (UN),36.40%
Chad,10.70%
Chile,37.10%
China,26.20%
Colombia,11.40%
Comoros,27.70%
Congo,12.80%
Cook Islands,32.50%
Costa Rica,12.60%
Cote d'Ivoire,13.20%
Croatia,35.40%
Cuba,27.00%
Cyprus,37.70%
Czechia,32.30%
Democratic Republic of Congo,15.40%
Denmark,25.50%
Dominican Republic,13.90%
Eastern and South-Eastern Asia (UN),27.80%
Ecuador,14.50%
Egypt,24.30%
El Salvador,11.30%
Eritrea,10.00%
Estonia,37.20%
Eswatini,10.50%
Ethiopia,5.90%
Europe and Northern America (UN),28.80%
Fiji,27.40%
Finland,27.80%
France,33.80%
Gambia,15.80%
Georgia,32.20%
Germany,28.30%
Ghana,4.90%
Greece,42.90%
Guatemala,12.50%
Guinea-Bissau,12.70%
Guyana,19.10%
Haiti,9.70%
Hungary,34.60%
Iceland,19.10%
India,38.10%
Indonesia,36.30%
Iran,17.00%
Iraq,19.90%
Ireland,27.10%
Israel,25.90%
Italy,24.50%
Jamaica,12.80%
Japan,25.80%
Jordan,32.60%
Kazakhstan,28.10%
Kenya,14.70%
Kiribati,52.70%
Kuwait,18.90%
Kyrgyzstan,29.40%
Laos,40.50%
Latin America and the Caribbean (UN),18.00%
Latvia,40.10%
Lebanon,39.10%
Lesotho,27.20%
Liberia,11.50%
Lithuania,36.40%
Luxembourg,25.60%
Madagascar,35.40%
Malawi,16.00%
Malaysia,25.60%
Maldives,30.60%
Mali,11.60%
Malta,28.60%
Marshall Islands,28.40%
Mauritania,15.10%
Mauritius,22.70%
Mexico,17.70%
Moldova,26.90%
Mongolia,31.60%
Montenegro,34.90%
Morocco,18.10%
Mozambique,20.50%
Myanmar,54.60%
Namibia,19.50%
Nauru,55.50%
Nepal,43.60%
Netherlands,27.50%
New Zealand,20.10%
Niger,8.40%
Nigeria,5.90%
North Korea,22.30%
Norway,26.70%
Oman,7.70%
Pakistan,27.40%
Palau,21.40%
Panama,8.20%
Papua New Guinea,45.90%
Paraguay,18.20%
Peru,16.30%
Philippines,28.30%
Poland,30.80%
Portugal,25.30%
Qatar,12.60%
Romania,31.40%
Russia,29.80%
Rwanda,18.50%
Samoa,31.40%
Sao Tome and Principe,6.60%
Saudi Arabia,14.20%
Senegal,9.90%
Serbia,42.30%
Seychelles,24.00%
Sierra Leone,24.30%
Singapore,16.50%
Slovakia,31.60%
Slovenia,23.50%
Solomon Islands,39.60%
South Africa,21.60%
South Korea,27.00%
Spain,31.90%
Sri Lanka,24.80%
Sub-Saharan Africa (UN),12.80%
Sweden,32.30%
Switzerland,26.90%
Tanzania,15.50%
Thailand,26.30%
Timor,46.00%
Togo,9.80%
Tonga,32.10%
Tunisia,29.00%
Turkey,31.70%
Turkmenistan,8.20%
Tuvalu,41.80%
Uganda,14.30%
Ukraine,31.10%
United Kingdom,24.10%
United States,28.00%
Uruguay,27.50%
Uzbekistan,20.90%
Vanuatu,21.30%
Vietnam,27.00%
World,26.70%
Yemen,23.40%
Zambia,16.70%
Zimbabwe,15.60%
