Country,urban_pop_share
Afghanistan,23.74%
Albania,52.16%
Algeria,67.54%
American Samoa,87.59%
Andorra,88.82%
Angola,59.78%
Antigua and Barbuda,26.24%
Argentina,90.85%
Armenia,63.44%
Aruba,43.06%
Australia,85.18%
Austria,57.40%
Azerbaijan,53.41%
Bahamas,82.43%
Bahrain,88.63%
Bangladesh,30.46%
Barbados,31.87%
Belarus,74.67%
Belgium,97.65%
Belize,45.23%
Benin,43.09%
Bermuda,100.00%
Bhutan,34.79%
Bolivia,66.43%
Bosnia and Herzegovina,45.56%
Botswana,62.41%
Brazil,84.33%
British Virgin Islands,44.81%
Brunei,74.96%
Bulgaria,72.30%
Burkina Faso,24.63%
Burundi,10.64%
Cambodia,20.29%
Cameroon,51.56%
Canada,80.94%
Cape Verde,61.82%
Cayman Islands,100.00%
Central African Republic,38.90%
Chad,21.99%
Channel Islands,31.05%
Chile,87.07%
China,49.23%
Colombia,77.96%
Comoros,27.97%
Congo,63.26%
Costa Rica,71.74%
Cote d'Ivoire,47.33%
Croatia,55.15%
Cuba,76.60%
Curacao,89.90%
Cyprus,67.55%
Czechia,73.25%
Democratic Republic of Congo,40.01%
Denmark,86.79%
Djibouti,77.00%
Dominica,68.09%
Dominican Republic,73.75%
East Asia and Pacific,51.95%
Ecuador,62.69%
Egypt,43.02%
El Salvador,65.45%
Equatorial Guinea,65.94%
Eritrea,35.17%
Estonia,68.09%
Eswatini,22.48%
Ethiopia,17.32%
Europe and Central Asia,70.77%
European Union,72.97%
Faeroe Islands,40.93%
Fiji,52.17%
Finland,83.77%
France,78.37%
French Polynesia,60.32%
Gabon,85.53%
Gambia,55.66%
Georgia,55.53%
Germany,76.97%
Ghana,50.71%
Gibraltar,100.00%
Greece,76.29%
Greenland,84.38%
Grenada,35.87%
Guam,94.10%
Guatemala,48.40%
Guinea,33.68%
Guinea-Bissau,40.11%
Guyana,26.63%
Haiti,47.51%
High income,79.96%
Honduras,51.88%
Hong Kong,100.00%
Hungary,68.91%
Iceland,93.57%
India,30.93%
Indonesia,49.91%
Iran,70.63%
Iraq,69.10%
Ireland,61.54%
Isle of Man,51.99%
Israel,91.83%
Italy,68.33%
Jamaica,53.74%
Japan,90.81%
Jordan,86.09%
Kazakhstan,56.83%
Kenya,23.57%
Kiribati,47.39%
Kuwait,100.00%
Kyrgyzstan,35.31%
Laos,30.06%
Latin America and Caribbean,78.55%
Latvia,67.84%
Lebanon,87.33%
Lesotho,24.80%
Liberia,47.81%
Libya,78.05%
Liechtenstein,14.46%
Lithuania,66.76%
Low and middle income,45.77%
Low income,30.06%
Lower middle income,37.79%
Luxembourg,88.55%
Macao,100.00%
Madagascar,31.94%
Malawi,15.54%
Malaysia,70.91%
Maldives,36.43%
Mali,36.00%
Malta,94.07%
Marshall Islands,73.57%
Mauritania,46.59%
Mauritius,41.56%
Mexico,77.82%
Micronesia (country),22.30%
Middle East and North Africa,62.66%
Middle income,47.31%
Moldova,42.62%
Monaco,100.00%
Mongolia,67.57%
Montenegro,64.14%
Morocco,58.02%
Mozambique,31.83%
Myanmar,28.89%
Namibia,41.62%
Nauru,100.00%
Nepal,16.77%
Netherlands,87.13%
New Caledonia,67.10%
New Zealand,86.16%
Nicaragua,56.92%
Niger,16.22%
Nigeria,43.48%
North America,80.79%
North Korea,60.38%
North Macedonia,57.09%
Northern Mariana Islands,90.95%
Norway,79.10%
Oman,75.16%
Pakistan,35.00%
Palau,74.82%
Palestine,74.15%
Panama,65.14%
Papua New Guinea,13.02%
Paraguay,59.26%
Peru,76.43%
Philippines,45.33%
Poland,60.89%
Portugal,60.57%
Puerto Rico,93.82%
Qatar,98.50%
Romania,53.83%
Russia,73.69%
Rwanda,16.93%
Saint Kitts and Nevis,31.32%
Saint Lucia,18.45%
Saint Vincent and the Grenadines,48.96%
Samoa,20.08%
San Marino,95.74%
Sao Tome and Principe,64.95%
Saudi Arabia,82.08%
Senegal,43.77%
Serbia,54.99%
Seychelles,53.34%
Sierra Leone,38.86%
Singapore,100.00%
Sint Maarten (Dutch part),100.00%
Slovakia,54.69%
Slovenia,52.66%
Solomon Islands,20.05%
Somalia,39.31%
South Africa,62.22%
South Asia,30.82%
South Korea,81.94%
South Sudan,17.86%
Spain,78.44%
Sri Lanka,18.23%
Sub-Saharan Africa,36.00%
Sudan,33.09%
Suriname,66.34%
Sweden,85.06%
Switzerland,73.61%
Syria,55.60%
Tajikistan,26.52%
Tanzania,28.11%
Thailand,43.86%
Timor,27.73%
Togo,37.53%
Tonga,23.39%
Trinidad and Tobago,54.03%
Tunisia,66.66%
Turkey,70.82%
Turkmenistan,48.49%
Turks and Caicos Islands,90.23%
Tuvalu,54.80%
Uganda,19.38%
Ukraine,68.60%
United Arab Emirates,84.09%
United Kingdom,81.30%
United States,80.77%
United States Virgin Islands,94.59%
Upper middle income,59.00%
Uruguay,94.41%
Uzbekistan,50.96%
Vanuatu,24.46%
Venezuela,88.08%
Vietnam,30.42%
World,51.65%
Yemen,31.78%
Zambia,39.35%
Zimbabwe,33.20%
