Country,Education
Afghanistan,2.37 years
Africa,
Africa (UN),
Albania,10.55 years
Algeria,7.81 years
American Samoa,
Andorra,10.57 years
Angola,4.70 years
Anguilla,
Antigua and Barbuda,9.17 years
Arab States (UNDP),7.43 years
Argentina,10.92 years
Armenia,11.57 years
Aruba,
Asia,
Asia (UN),
Australia,12.25 years
Austria,12.08 years
Azerbaijan,10.48 years
Bahamas,12.29 years
Bahrain,9.11 years
Bangladesh,5.99 years
Barbados,9.70 years
Belarus,11.76 years
Belgium,11.89 years
Belize,9.67 years
Benin,3.72 years
Bermuda,
Bhutan,3.32 years
Bolivia,8.93 years
Bonaire Sint Eustatius and Saba,
Bosnia and Herzegovina,9.29 years
Botswana,10.02 years
Brazil,7.51 years
British Virgin Islands,
Brunei,9.02 years
Bulgaria,11.19 years
Burkina Faso,1.44 years
Burundi,2.29 years
Cambodia,4.60 years
Cameroon,5.93 years
Canada,13.70 years
Cape Verde,5.86 years
Cayman Islands,
Central African Republic,4.23 years
Chad,2.22 years
Chile,10.26 years
China,7.20 years
Colombia,8.05 years
Comoros,4.78 years
Congo,6.11 years
Cook Islands,
Costa Rica,8.58 years
Cote d'Ivoire,4.83 years
Croatia,11.66 years
Cuba,11.92 years
Curacao,
Cyprus,11.87 years
Czechia,12.67 years
Democratic Republic of Congo,6.49 years
Denmark,12.64 years
Djibouti,4.06 years
Dominica,7.98 years
Dominican Republic,7.72 years
East Asia and the Pacific (UNDP),7.41 years
Ecuador,8.70 years
Egypt,8.57 years
El Salvador,6.62 years
Equatorial Guinea,5.53 years
Eritrea,4.69 years
Estonia,13.49 years
Eswatini,5.06 years
Ethiopia,2.58 years
Europe,
Europe (UN),
Europe and Central Asia (UNDP),10.21 years
European Union (27),
Faeroe Islands,
Falkland Islands,
Fiji,10.35 years
Finland,12.63 years
France,11.33 years
French Guiana,
French Polynesia,
Gabon,8.98 years
Gambia,3.88 years
Georgia,12.72 years
Germany,14.08 years
Ghana,7.78 years
Gibraltar,
Greece,10.74 years
Greenland,
Grenada,8.68 years
Guadeloupe,
Guam,
Guatemala,5.81 years
Guernsey,
Guinea,1.94 years
Guinea-Bissau,3.38 years
Guyana,8.36 years
Haiti,5.25 years
High human development (UNDP),7.84 years
High-income countries,
Honduras,6.29 years
Hong Kong,12.02 years
Hungary,11.85 years
Iceland,13.18 years
India,6.25 years
Indonesia,7.91 years
Iran,10.21 years
Iraq,7.82 years
Ireland,11.29 years
Isle of Man,
Israel,12.96 years
Italy,10.31 years
Jamaica,8.79 years
Japan,13.28 years
Jersey,
Jordan,10.07 years
Kazakhstan,11.81 years
Kenya,6.30 years
Kiribati,7.87 years
Kosovo,
Kuwait,7.07 years
Kyrgyzstan,11.35 years
Laos,5.03 years
Latin America and the Caribbean (UN),
Latin America and the Caribbean (UNDP),8.39 years
Latvia,12.87 years
Lebanon,8.50 years
Lesotho,5.66 years
Liberia,4.53 years
Libya,7.31 years
Liechtenstein,12.25 years
Lithuania,12.96 years
Low human development (UNDP),4.60 years
Low-income countries,
Lower-middle-income countries,
Luxembourg,12.46 years
Macao,
Madagascar,4.94 years
Malawi,4.12 years
Malaysia,10.26 years
Maldives,6.65 years
Mali,1.87 years
Malta,11.21 years
Marshall Islands,10.88 years
Martinique,
Mauritania,4.46 years
Mauritius,9.43 years
Mayotte,
Medium human development (UNDP),6.39 years
Mexico,8.60 years
Micronesia (country),7.57 years
Moldova,11.77 years
Monaco,
Mongolia,9.73 years
Montenegro,11.72 years
Montserrat,
Morocco,5.38 years
Mozambique,3.19 years
Myanmar,5.81 years
Namibia,6.99 years
Nauru,
Nepal,4.50 years
Netherlands,12.14 years
Netherlands Antilles,
New Caledonia,
New Zealand,13.23 years
Nicaragua,6.68 years
Niger,1.80 years
Nigeria,6.18 years
Niue,
North America,
North Korea,
North Macedonia,9.37 years
Northern America (UN),
Northern Mariana Islands,
Norway,12.77 years
Oceania,
Oceania (UN),
Oman,9.55 years
Pakistan,5.16 years
Palau,12.79 years
Palestine,9.08 years
Panama,9.98 years
Papua New Guinea,4.58 years
Paraguay,8.52 years
Peru,9.09 years
Philippines,8.80 years
Poland,12.92 years
Portugal,8.99 years
Puerto Rico,
Qatar,9.70 years
Reunion,
Romania,10.98 years
Russia,12.53 years
Rwanda,4.13 years
Saint Barthlemy,
Saint Helena,
Saint Kitts and Nevis,8.40 years
Saint Lucia,8.42 years
Saint Martin (French part),
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,9.86 years
Samoa,11.56 years
San Marino,
Sao Tome and Principe,5.62 years
Saudi Arabia,9.94 years
Senegal,2.81 years
Serbia,11.02 years
Seychelles,10.30 years
Sierra Leone,4.09 years
Singapore,11.57 years
Sint Maarten (Dutch part),
Slovakia,12.64 years
Slovenia,12.57 years
Solomon Islands,5.44 years
Somalia,
South Africa,10.23 years
South America,
South Asia (UNDP),6.32 years
South Korea,12.12 years
South Sudan,5.73 years
Spain,9.91 years
Sri Lanka,10.46 years
Sub-Saharan Africa (UNDP),5.46 years
Sudan,3.62 years
Suriname,9.37 years
Svalbard and Jan Mayen,
Sweden,12.35 years
Switzerland,13.71 years
Syria,5.06 years
Taiwan,
Tajikistan,11.35 years
Tanzania,5.83 years
Thailand,8.18 years
Timor,5.27 years
Togo,4.51 years
Tokelau,
Tonga,11.27 years
Trinidad and Tobago,11.11 years
Tunisia,7.08 years
Turkey,7.96 years
Turkmenistan,11.12 years
Turks and Caicos Islands,
Tuvalu,10.00 years
